rank,goods_no,goods_name,price,sale_price,sale_rate,review_count,review_score,product_url
1,6092187,[한소희 PICK] 우먼즈 코튼 커브드 팬츠 (3 colors),49900,47410,5,386,96,https://www.musinsa.com/products/6092187
2,6121801,우먼즈 시어 슬림 티셔츠 (5 colors),15900,15100,5,11,86,https://www.musinsa.com/products/6121801
3,6092188,[쿨탠다드] 우먼즈 커브드 스웨트 팬츠 (2 colors),49900,49900,0,5,88,https://www.musinsa.com/products/6092188
4,6092190,[한소희 PICK] [UV 프로텍션] 우먼즈 시어 윈드브레이커 (5 colors),55900,55900,0,143,98,https://www.musinsa.com/products/6092190
5,5928482,[한소희 PICK] 우먼즈 신세틱 레더 도트 스터드 벨트_25mm,29900,29900,0,8,98,https://www.musinsa.com/products/5928482
6,6121803,[쿨탠다드] 우먼즈 슬림 크루 넥 티셔츠 (5 colors),19900,19900,0,39,100,https://www.musinsa.com/products/6121803
7,5985469,우먼즈 에센셜 크루 넥 티셔츠 3팩,19900,17910,10,21,92,https://www.musinsa.com/products/5985469
8,5166562,우먼즈 딥 턱 엑스트라 와이드 치노 팬츠 [베이지],55900,39130,30,118,98,https://www.musinsa.com/products/5166562
9,4728043,우먼즈 코튼 카프리 팬츠 [블랙],39900,27930,30,222,96,https://www.musinsa.com/products/4728043
10,2477832,[쿨탠다드] 우먼즈 스트레이트 히든 밴딩 슬랙스 [블랙],39900,39900,0,2020,96,https://www.musinsa.com/products/2477832
11,2818151,우먼즈 와이드 카고 팬츠 [크림],55900,39130,30,1769,96,https://www.musinsa.com/products/2818151
12,5940961,우먼즈 버티컬 시어삭스 4팩 [블랙],15900,12720,20,27,94,https://www.musinsa.com/products/5940961
13,5940965,우먼즈 버티컬 시어삭스 4팩 [화이트],15900,12720,20,19,96,https://www.musinsa.com/products/5940965
14,6092691,[다구매시 할인] 우먼즈 심리스 브라 (7 colors),29900,28410,5,59,98,https://www.musinsa.com/products/6092691
15,5768119,우먼즈 폴카 도트 파라슈트 팬츠 [블랙],55900,55900,0,15,98,https://www.musinsa.com/products/5768119
16,3758437,우먼즈 CP 맥시 스커트 [블랙],49900,49900,0,598,98,https://www.musinsa.com/products/3758437
17,2978126,우먼즈 파라슈트 팬츠 [건메탈],55900,36340,35,1583,98,https://www.musinsa.com/products/2978126
18,2551390,우먼즈 하이 웨이스트 와이드 히든 밴딩 슬랙스 [블랙],45900,36720,20,3810,96,https://www.musinsa.com/products/2551390
19,5745829,우먼즈 핀 스트라이프 딥 턱 와이드 슬랙스 [그레이],49900,49900,0,51,98,https://www.musinsa.com/products/5745829
20,4644447,[한소희 PICK] 우먼즈 로 웨이스트 딥 턱 엑스트라 와이드 히든 밴딩 슬랙스 [블랙],49900,49900,0,159,96,https://www.musinsa.com/products/4644447
21,5768101,우먼즈 워시드 코튼 딥 턱 와이드 팬츠 [카키 베이지],55900,55900,0,24,94,https://www.musinsa.com/products/5768101
22,3378573,우먼즈 와이드 카펜터 팬츠 [블랙],59900,41930,30,974,96,https://www.musinsa.com/products/3378573
23,3779651,우먼즈 부츠 컷 데님 팬츠 [미디엄 인디고],49900,37430,25,567,94,https://www.musinsa.com/products/3779651
24,5166592,우먼즈 커브드 치노 팬츠 [베이지],49900,49900,0,172,96,https://www.musinsa.com/products/5166592
25,5795928,[UV 프로텍션] 우먼즈 쿨링 저지 와이드 팬츠 [블랙],39900,39900,0,18,94,https://www.musinsa.com/products/5795928
26,3445169,우먼즈 신세틱 레더 슬림 벨트_20mm,16900,10140,40,4687,96,https://www.musinsa.com/products/3445169
27,5661619,우먼즈 나일론 루치드 롱 스커트 [애쉬 그레이],59900,59900,0,28,100,https://www.musinsa.com/products/5661619
28,1945314,우먼즈 라이트웨이트 하이 웨이스트 와이드 히든 밴딩 슬랙스 [블랙],43900,30730,30,3164,96,https://www.musinsa.com/products/1945314
29,1357768,우먼즈 와이드 데님 팬츠 [워시드 블랙],49900,37430,25,3873,96,https://www.musinsa.com/products/1357768
30,2792571,우먼즈 세미 부츠 컷 히든 밴딩 슬랙스 [블랙],45900,45900,0,1452,96,https://www.musinsa.com/products/2792571
31,2124425,우먼즈 스트레이트 데님 팬츠 [블랙],49900,37430,25,1984,92,https://www.musinsa.com/products/2124425
32,3863280,우먼즈 스퀘어 넥 탱크 탑 [화이트],15900,14790,7,1456,94,https://www.musinsa.com/products/3863280
33,5258615,우먼즈 리브드 슬라우치 삭스 4팩 [그레이],19900,11940,40,65,86,https://www.musinsa.com/products/5258615
34,5892071,우먼즈 커브드 데님 팬츠 [라이트 인디고],49900,49900,0,24,94,https://www.musinsa.com/products/5892071
35,5242005,우먼즈 코튼 엑스트라 와이드 팬츠 [크림],49900,49900,0,61,96,https://www.musinsa.com/products/5242005
36,5657916,우먼즈 스트라이프 릴렉스드 포플린 셔츠 [스카이 블루],39900,39900,0,30,94,https://www.musinsa.com/products/5657916
37,4719640,우먼즈 코튼 파라슈트 팬츠 [블랙],49900,34930,30,144,96,https://www.musinsa.com/products/4719640
38,5698182,우먼즈 포멀 미니 드레스 [그레이],69900,69900,0,7,100,https://www.musinsa.com/products/5698182
39,3753637,[한소희 PICK] 우먼즈 슬림 크루 넥 티셔츠 [화이트],15900,14790,7,4721,96,https://www.musinsa.com/products/3753637
40,5721297,우먼즈 싱글 하프 트렌치 코트 [크림],129900,77940,40,30,96,https://www.musinsa.com/products/5721297
41,2820940,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [미디엄 그레이],39900,31920,20,5306,96,https://www.musinsa.com/products/2820940
42,2818150,우먼즈 와이드 카고 팬츠 [블랙],55900,39130,30,4484,96,https://www.musinsa.com/products/2818150
43,3135346,[한소희 PICK] 우먼즈 에센셜 탱크 탑 [화이트],15900,11130,30,3900,96,https://www.musinsa.com/products/3135346
44,4624151,우먼즈 하이 웨이스트 와이드 히든 밴딩 슬랙스 [차콜 그레이],45900,36720,20,52,96,https://www.musinsa.com/products/4624151
45,5166563,우먼즈 딥 턱 엑스트라 와이드 치노 팬츠 [블랙],55900,33540,40,43,98,https://www.musinsa.com/products/5166563
46,3134739,[쿨탠다드] 우먼즈 스트레이트 데님 팬츠 [라이트 인디고],55900,53110,5,639,96,https://www.musinsa.com/products/3134739
47,3779650,우먼즈 부츠 컷 데님 팬츠 [라이트 인디고],49900,37430,25,345,96,https://www.musinsa.com/products/3779650
48,4642930,우먼즈 와이드 데님 팬츠 [블랙],49900,39920,20,258,90,https://www.musinsa.com/products/4642930
49,1357771,우먼즈 와이드 데님 팬츠 [미디엄 인디고],49900,39920,20,2449,96,https://www.musinsa.com/products/1357771
